CustomerID,Age,Gender,PurchaseAmount,PurchaseFrequency,WebsiteVisits,TimeOnSite,BounceRate,State,Date
1,56,Female,3607,11,6,11.28,53.33,Borno,2024-04-12
2,69,Male,695,9,19,12.5,40.56,Osun,2024-12-14
3,46,Male,3040,9,38,5.19,16.92,Edo,2024-09-27
4,32,Male,1949,6,28,12.89,97.75,Delta,2024-04-16
5,60,Male,2554,6,2,11.86,85.33,Delta,2024-03-12
6,25,Male,2822,4,38,4.51,49.83,Abuja,2024-07-07
7,38,Male,1204,4,37,2.13,60.32,Ekiti,2024-01-21
8,56,Male,637,5,4,12.48,22.73,Ekiti,2024-04-12
9,36,Male,4621,3,22,15.51,54.38,Rivers,2024-05-01
10,40,Female,1871,1,26,10.94,69.5,Benue,2024-08-02
11,28,Female,1035,1,49,5.31,51.52,Anambra,2024-11-26
12,28,Female,4129,7,43,13.66,99.03,Abuja,2024-03-28
13,41,Female,3398,1,36,2.52,61.13,Ekiti,2024-04-09
14,53,Male,3881,1,13,9.39,37.1,Cross River,2024-12-25
15,57,Male,1291,3,32,4.1,77.22,Ondo,2024-05-31
16,41,Female,239,10,17,4.5,17.05,Edo,2024-05-10
17,20,Female,1030,4,41,4.84,38.45,Ondo,2024-05-29
18,39,Female,1748,4,36,8.35,34.7,Lagos,2024-11-04
19,19,Male,1765,2,46,1.97,43.18,Imo,2024-09-14
20,41,Male,2643,1,19,8.56,78.18,Borno,2024-12-09
21,61,Male,4186,3,35,10.72,48.42,Benue,2024-10-20
22,47,Male,4483,11,46,10.18,79.4,Kaduna,2024-07-10
23,55,Female,1148,4,40,8.27,57.65,Delta,2024-10-03
24,19,Female,2376,3,28,16.94,34.21,Edo,2024-06-09
25,38,Male,3297,8,1,3.76,81.0,Osun,2024-11-09
26,50,Female,945,10,42,10.61,23.83,Ogun,2024-01-22
27,29,Female,1724,1,18,2.18,22.44,Ekiti,2024-09-09
28,39,Male,2959,2,48,2.35,50.45,Ekiti,2024-08-23
29,61,Male,980,7,40,11.9,26.08,Kaduna,2024-12-10
30,42,Male,4434,4,33,11.75,0.91,Osun,2024-02-18
